FarmID ,  ParcelID  , Lat        , Lon         , Farm Name               ,  Amount  ,  Weight  ,  Muscle  ,    Fat   ,Features , Front   ,    Leg   ,  Wool , Total
1379291 , 137929    , 65.03262333, -21.72421832, Harrastaðir             ,     74   ,    41.4  ,   26.8   ,    4.1   ,   4.0   ,  8.4    ,    17.0  ,  8.0  ,  33.4
1377471 , 137747    , 65.13759945,  -22.0365721, Breiðabólsstaður        ,    165   ,    40.3  ,   26.6   ,    3.1   ,   3.8   ,  8.2    ,    17.1  ,  7.9  ,  33.2
1377321 , 137732    , 65.21779963, -21.74583317, Magnússkógar 3          ,    116   ,    41.1  ,   26.6   ,    3.1   ,   3.8   ,  8.3    ,    17.0  ,  7.8  ,  33.1
1379651 , 137965    , 65.00256595, -21.68045376, Skörð                   ,    200   ,    38.9  ,   26.6   ,    3.2   ,   3.6   ,  8.3    ,    17.0  ,  7.8  ,  33.1
1378011 , 137801    , 65.13303162, -22.06864288, Valþúfa                 ,    154   ,    44.5  ,   26.6   ,    3.7   ,   3.6   ,  8.2    ,    17.0  ,  7.8  ,  33.0
1377361 , 137736    , 65.21046198, -21.80102432, Skerðingsstaðir         ,    115   ,    39.6  ,   26.5   ,    3.2   ,   3.8   ,  8.5    ,    17.3  ,  7.9  ,  33.6
1375901 , 137590    , 65.14997251, -21.56912893, Svarfhóll               ,    309   ,    38.7  ,   26.2   ,    2.4   ,   3.8   ,  8.3    ,    17.0  ,  7.9  ,  33.2
1378851 , 137885    , 65.39979639, -21.89514429, Stóra-Holt              ,    117   ,    43.1  ,   26.2   ,    2.7   ,   4.0   ,  8.1    ,    17.1  ,  7.9  ,  33.1
1379591 , 137959    , 65.01109218, -21.63011007, Sauðafell               ,    162   ,    42.7  ,   26.2   ,    3.7   ,   3.6   ,  8.3    ,    17.0  ,  8.2  ,  33.5
1404451 , 140445    , 65.73395709, -23.82917579, Grænahlíð               ,    296   ,    40.1  ,   27.0   ,    3.0   ,   3.9   ,  8.3    ,    17.1  ,  8.0  ,  33.3
1404401 , 140440    ,  65.6018788, -23.54333552, Foss                    ,    104   ,    40.8  ,   26.8   ,    3.1   ,   3.9   ,  8.4    ,    17.3  ,  8.2  ,  33.8
1395331 , 139533    , 65.48500286, -22.35483204, Árbær                   ,    178   ,    44.3  ,   26.7   ,    3.4   ,   4.0   ,  8.6    ,    17.7  ,  8.4  ,  34.6
1396051 , 139605    , 65.50111838, -21.96744792, Kambur                  ,     77   ,    42.0  ,   26.2   ,    3.2   ,   3.9   ,  8.3    ,    17.3  ,  8.4  ,  34.0
1395341 , 139534    , 65.48570094, -21.88441252, Bakki                   ,    212   ,    38.3  ,   26.1   ,    3.9   ,   3.9   ,  8.2    ,    16.9  ,  8.0  ,  33.0
1396391 , 139639    , 65.44926208, -22.20569872, Reykhólar               ,    198   ,    45.5  ,   26.0   ,    4.5   ,   3.7   ,  8.2    ,    17.1  ,  8.2  ,  33.4
1395021 , 139502    , 66.15877742, -23.28697352, Minni-Hlíð              ,    157   ,    38.5  ,   27.9   ,    3.1   ,   3.9   ,  8.3    ,    17.4  ,  8.0  ,  33.6
1412401 , 141240    , 66.08244275, -23.34634766, Birkihlíð               ,     99   ,    39.6  ,   27.6   ,    2.9   ,   4.1   ,  8.3    ,    17.3  ,  8.1  ,  33.7
1414211 , 141421    , 65.96219491, -23.04868491, Minni-Hattardalur       ,     73   ,    42.6  ,   27.3   ,    3.1   ,   4.1   ,  8.3    ,    17.4  ,  7.9  ,  33.6
1412421 , 141242    , 66.08088476, -23.36698788, Botn 2                  ,    108   ,    38.9  ,   27.0   ,    2.9   ,   3.9   ,  8.3    ,    17.3  ,  8.2  ,  33.8
1412551 , 141255    , 66.11582181, -23.56294669, Staður                  ,    132   ,    38.8  ,   26.8   ,    2.8   ,   4.0   ,  8.3    ,    17.3  ,  8.0  ,  33.6
1406331 , 140633    , 65.86697297, -23.56234811, Hólar                   ,    151   ,    41.7  ,   26.7   ,    3.1   ,   4.0   ,  8.4    ,    17.3  ,  8.1  ,  33.7
1410231 , 141023    , 65.97833628, -23.43831443, Tröð                    ,     88   ,    43.5  ,   26.7   ,    3.1   ,   3.7   ,  8.2    ,    17.0  ,  8.0  ,  33.1
1406621 , 140662    , 65.85018797, -23.54799225, Kirkjuból               ,    180   ,    38.3  ,   26.3   ,    2.8   ,   4.0   ,  8.3    ,    17.2  ,  8.0  ,  33.5
